depth,network,site_id,n,exact_acc,class_err,kappa
Middle,SNTL,SNTL:579,5764,0.29718945176960443,1.4094378903539209,0.14848335663254622
Middle,SNTL,SNTL:586,2667,0.3160854893138358,1.2913385826771653,0.3061865075294027
Middle,SNTL,SNTL:694,3816,0.3170859538784067,1.305293501048218,0.1660742406393381
Middle,SNTL,SNTL:714,5692,0.3135980323260717,1.2626493323963457,0.19371762595846767
Middle,SNTL,SNTL:770,4903,0.32939016928411174,1.246991637772792,0.255761364672972
Middle,SNTL,SNTL:814,3501,0.3390459868608969,1.1665238503284776,0.2759129163090276
Middle,SNTL,SNTL:816,2494,0.27465918203688855,1.4967923015236568,0.1041907671638334
Middle,SNTL,SNTL:832,0,NA,NA,NA
Middle,SNTL,SNTL:872,4589,0.34146872957071256,1.3512747875354107,0.1885780958295426
Middle,SNTL,SNTL:979,6658,0.2976869930910183,1.3697807149294083,0.2659293320880403
Middle,USCRN,1004,3899,0.2495511669658887,1.5008976660682227,0.24330657037535713
Middle,USCRN,1028,4869,0.28342575477510784,1.4107619634421853,0.18996726134075892
Middle,USCRN,1038,4181,0.3087778043530256,1.3097345132743363,0.2832683470880773
Middle,USCRN,1042,4173,0.286843997124371,1.3831775700934579,0.24872317953433296
Middle,USCRN,1235,3023,0.314257360238174,1.167714191200794,0.351808249809059
Middle,USCRN,1236,3521,0.2570292530531099,1.4967338824197671,0.18983050245238195
Middle,USCRN,1406,4891,0.33346963811081576,1.1373952157023104,0.2851074548518711
Middle,USCRN,1446,3413,0.35335481980662176,1.029592733665397,0.4670823530252068
Middle,UMRB Mesonet,BBMW4,0,NA,NA,NA
Middle,UMRB Mesonet,CFCM8,0,NA,NA,NA
Middle,UMRB Mesonet,MCIM8,0,NA,NA,NA
Middle,UMRB Mesonet,ROBN8,0,NA,NA,NA
Middle,SCAN,SCAN:2021,8882,0.3165953614050889,1.1962395856789012,0.286377557558858
Middle,SCAN,SCAN:2022,6052,0.25760079312623924,1.5619629874421679,0.2027008567933786
Middle,SCAN,SCAN:2024,7022,0.27542010823127316,1.4468812304186842,0.21743943397455015
Middle,SCAN,SCAN:2055,4937,0.2669637431638647,1.3570994531091756,0.3185057401314005
Middle,SCAN,SCAN:2069,6760,0.30902366863905323,1.3026627218934912,0.30892123041702774
Middle,SCAN,SCAN:2075,6559,0.40402500381155665,0.8861106876048178,0.46811185325636817
Middle,SCAN,SCAN:2077,6362,0.32772712983338576,1.1606413077648539,0.3551518973691875
Middle,SCAN,SCAN:2088,6457,0.3518661917299055,1.217748180269475,0.2709626327507212
Middle,SCAN,SCAN:2093,6515,0.3082118188795088,1.355333844973139,0.16594671103756733
