depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Middle,SCAN,SCAN:2061,3,5967,5113,-94.03333,38.86667,0.6012343705481227,0.25975986284373875,0.3414745077043839,0.7422207405756458,0.5567948071724963,0.1854259334031495,-11.5,-42.6,31.1,31.1
Middle,SCAN,SCAN:2064,6,6198,4338,-88.78051,33.47094,0.6505910382315312,0.41952566230107213,0.23106537593045906,0.6697338482813685,0.66153789721449,0.008195951066878537,-3.1,-29.8,26.7,26.7
Middle,SCAN,SCAN:2068,10,5490,4061,-95.76667,42.43333,0.6877111577605814,0.4848718633590655,0.20283929440151593,0.7303427289005167,0.6285354823171108,0.1018072465834059,-6.8,-33.1,26.3,26.3
Middle,SCAN,SCAN:2069,5,6760,5518,-71.72644,43.94843,0.602555444259067,0.319456203039429,0.28309924121963803,0.6097323930988636,0.3744029960618271,0.23532939703703654,6.2,12.1,-5.8999999999999995,5.8999999999999995
Middle,SCAN,SCAN:2070,10,6276,4810,-91.10184,33.61962,0.4054083460960346,0.19048604219850362,0.21492230389753098,0.41432919900270604,0.4183463334651838,-0.004017134462477756,-10.1,-45.8,35.699999999999996,35.699999999999996
Middle,SCAN,SCAN:2072,1,5217,3658,-96.61455,43.73835,0.6571873891145861,0.5994521449805141,0.05773524413407194,0.7451390875795436,0.6606709102889832,0.08446817729056044,21.4,-20,41.4,-1.3999999999999986
Middle,SCAN,SCAN:2075,5,6559,5904,-86.59137000000001,35.06445000000001,0.7438410617630324,0.776397002079644,-0.032555940316611576,0.8789082791055512,0.8091439940713886,0.06976428503416265,8.4,-9.6,18,1.1999999999999993
Middle,SCAN,SCAN:2076,8,6393,5154,-86.8938,35.0747,0.613545599554356,0.579792522321412,0.03375307723294396,0.778709054393349,0.6556894364684482,0.12301961792490079,0.7,-15,15.7,14.3
Middle,SCAN,SCAN:2077,5,6362,5677,-86.19113,35.13905,0.6653937309739191,0.298333913297664,0.36705981767625506,0.7884259280889232,0.7303812096475922,0.05804471844133097,2.7,-19.1,21.8,16.400000000000002
Middle,SCAN,SCAN:2078,10,5914,5123,-86.60236,34.89375,0.5768595512243311,0.3132597303650986,0.2635998208592325,0.6237419880829941,0.5085067844864494,0.11523520359654471,-0.7,-19.1,18.400000000000002,18.400000000000002
Middle,SCAN,SCAN:2079,2,6866,6215,-86.04093,37.1864,0.6160517344444019,0.5947341005785933,0.02131763386580854,0.71292010540183115,0.7188168308278182,-0.0058967254259870705,-16.3,-6.3,-10,-10
Middle,SCAN,SCAN:2082,2,6211,5750,-88.74162,30.4712,0.7301666486806103,0.48604114004685206,0.24412550863375826,0.7839411279927995,0.6625156862408289,0.12142544175197056,5.1,-21.2,26.299999999999997,16.1
Middle,SCAN,SCAN:2083,6,6040,5531,-92.02632,34.25188,0.7071620445968656,0.07273695035430339,0.6344250942425622,0.8875035149215105,0.5066432706996857,0.38086024422182474,20.9,14,6.899999999999999,-6.899999999999999
Middle,SCAN,SCAN:2084,6,5405,4771,-90.81769,34.7849,0.7066695734073796,0.6946269753922328,0.012042598015146733,0.7397928958506191,0.7880761030265709,-0.0482832071759518,-13.3,-20.4,7.099999999999998,7.099999999999998
Middle,SCAN,SCAN:2085,7,6629,5420,-90.45031,35.27732,0.08291631476113093,0.0750777176541294,0.007838597107001521,0.4372821253042123,0.44843288055955915,-0.011150755255346867,4.3,-33.2,37.5,28.900000000000002
Middle,SCAN,SCAN:2086,2,6236,5058,-90.51151,33.0875,0.32304861625151393,0.5721935277102993,-0.24914491145878537,0.40648290051396135,0.6578824146617824,-0.2513995141478211,29.7,-18.8,48.5,-10.899999999999999
Middle,SCAN,SCAN:2087,10,6444,5998,-91.05993,32.9972,0.0382472609858987,-0.2459668900127685,0.2842141509986672,0.045757055408668895,-0.029117502285076653,0.07487455769374554,-6.3,-30.9,24.599999999999998,24.599999999999998
Middle,SCAN,SCAN:2088,5,6457,6012,-79.2,37.91667,0.5685113740350842,0.5738764689287814,-0.0053650948936971865,0.7614215530461838,0.6964600279614268,0.06496152508475694,-9.5,8.5,-18,-1
